name,brand,collection,price_category,gender,movement,case_material,case_material_category,water_resistance,water_resistance_category,brand_country,brand_age,collection_price_tier,warrenty,power_reserve,dial,bracelet,PRODUCT_PRICE_DETAIL,reference,brand_founded_year,is_price_outlier,collection_popularity,water_resistance_standardized,price_category_improved,case_diameter_numeric,case_size_category,brand_prestige_level
Classima,Baume & Mercier,Classima,Budget,Erkek,Pilli,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,194,Entry Collection,2 Yıl,,Beyaz,Krokodil,42.200₺,10414,1830,FALSE,19,Yazme (50m),Ekonomik,42,Bayak (40-44mm),Orta Prestij
Speedmaster Moonwatch Professional,Omega,Speedmaster,Luxury,Erkek,Elle Kurmala,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,176,Ultra-Luxury Collection,5 Yıl,50 Saat,Beyaz,Paslanmaz Atelik,413.200₺,310.30.42.50.04.001,1848,FALSE,25,Yazme (50m),Laks,42,Bayak (40-44mm),Atok Prestijli
Seamaster Aqua Terra 150M,Omega,Seamaster,Ultra-Luxury,Erkek,Otomatik,Paslanmaz Atelik,Steel,150m,Swimming,Switzerland,176,Ultra-Luxury Collection,5 Yıl,60 Saat,Mavi,Kauasuk,506.300₺,220.12.43.22.03.002,1848,FALSE,59,Yazme (50m),Laks,43,Bayak (40-44mm),Atok Prestijli
PrimaLuna,Longines,Elegance,Budget,Women,Pilli,Paslanmaz Atelik,Steel,30m,Splash Resistant,Switzerland,192,Premium Collection,2 Yıl,,Pembe,Paslanmaz Atelik,78.000₺,L8.122.4.99.6,1832,FALSE,69,Ganlak Kullanam (30m),Ekonomik,30,Kaaak (<36mm),Orta Prestij
Classima,Baume & Mercier,Classima,Budget,Erkek,Otomatik,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,194,Entry Collection,2 Yıl,38 Saat,Gri,Tekstil,76.300₺,10696,1830,FALSE,19,Yazme (50m),Ekonomik,42,Bayak (40-44mm),Orta Prestij
Classima Moonphase Diamond Set,Baume & Mercier,Classima,Mid-Range,Women,Otomatik,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,194,Entry Collection,2 Yıl,38 Saat,Sedef,Krokodil,129.000₺,10633,1830,FALSE,19,Yazme (50m),Orta Segment,34,Kaaak (<36mm),Orta Prestij
Legend Diver,Longines,Diving,Mid-Range,Erkek,Otomatik,Bronz,Other,300m,Diving,Switzerland,192,Premium Collection,5 Yıl,72 Saat,Yeayil,Deri,164.000₺,L3.774.1.50.2,1832,FALSE,49,Professyonel Dalaay (300m+),Orta Segment,42,Bayak (40-44mm),Orta Prestij
Luminor Base Logo,Panerai,Luminor,Mid-Range,Erkek,Elle Kurmala,Paslanmaz Atelik,Steel,100m,Water Resistant,Italy,164,Ultra-Luxury Collection,8 Yıl,72 Saat,Mavi,Kauasuk,272.800₺,PAM01623,1860,FALSE,37,Snorkeling (100m),Premium,44,Bayak (40-44mm),Atok Prestijli
Big Bang Meca-10 Titanium,Hublot,Big Bang,Ultra-Luxury,Erkek,Elle Kurmala,Titanyum,Titanium,100m,Water Resistant,Switzerland,44,Ultra-Luxury Collection,2 Yıl,240 Saat,Askelet,Kauasuk,1.086.800₺,444.NX.1170.RX,1980,FALSE,43,Snorkeling (100m),Ultra Laks,42,Bayak (40-44mm),Atok Prestijli
Bvlgari Bvlgari,Bvlgari,Bvlgari Bvlgari,Ultra-Luxury,Women,Pilli,Altan,Gold,30m,Splash Resistant,Italy,140,Luxury Collection,5 Yıl,,Yeayil,Krokodil,557.000₺,104111,1884,FALSE,14,Ganlak Kullanam (30m),Laks,26,Kaaak (<36mm),Atok Prestijli
Top Time B31,Breitling,Top Time,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,140,Luxury Collection,5 Yıl,42 Saat,Beyaz,Paslanmaz Atelik,291.200₺,AB3113281A1A1,1884,FALSE,10,Snorkeling (100m),Premium,38,Orta (36-40mm),Prestijli
Primaluna Moonphase,Longines,Elegance,Mid-Range,Women,Otomatik,Paslanmaz Atelik,Steel,30m,Splash Resistant,Switzerland,192,Premium Collection,5 Yıl,72 Saat,Gamaay,Paslanmaz Atelik,136.000₺,L8.126.4.71.6,1832,FALSE,69,Ganlak Kullanam (30m),Orta Segment,34,Kaaak (<36mm),Orta Prestij
Aluminium Chronograph,Bvlgari,Aluminium,Mid-Range,Erkek,Otomatik,Alaminyum,Other,100m,Water Resistant,Italy,140,Premium Collection,5 Yıl,42 Saat,Mavi,Kauasuk,227.000₺,104234,1884,FALSE,11,Snorkeling (100m),Premium,41,Bayak (40-44mm),Atok Prestijli
Hampton,Baume & Mercier,Hampton,Budget,Women,Pilli,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,194,Premium Collection,2 Yıl,,Mor,Dana Derisi,68.100₺,10673,1830,FALSE,16,Yazme (50m),Ekonomik,35,Kaaak (<36mm),Orta Prestij
Conquest,Longines,Performance,Mid-Range,Women,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,192,Premium Collection,5 Yıl,72 Saat,Kahverengi,Paslanmaz Atelik,109.000₺,L3.430.4.62.6,1832,FALSE,57,Snorkeling (100m),Orta Segment,34,Kaaak (<36mm),Orta Prestij
Hampton,Baume & Mercier,Hampton,Mid-Range,Women,Pilli,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,194,Premium Collection,2 Yıl,,Gri,Paslanmaz Atelik,133.700₺,10631,1830,FALSE,16,Yazme (50m),Orta Segment,35,Kaaak (<36mm),Orta Prestij
Formula 1 Solargraph,Tag Heuer,Formula 1,Budget,Erkek,Pilli,Paslanmaz Atelik,Steel,100m,Water Resistant,Unknown,,Premium Collection,2 Yıl,,Mavi,Paslanmaz Atelik,96.200₺,WBY1112.BA0042,,FALSE,38,Snorkeling (100m),Orta Segment,38,Orta (36-40mm),Prestijli
Seamaster Diver 300M Co-Axial Master Chronometer,Omega,Seamaster,Luxury,Erkek,Otomatik,Paslanmaz Atelik,Steel,300m,Diving,Switzerland,176,Ultra-Luxury Collection,5 Yıl,55 Saat,Yeayil,Paslanmaz Atelik,302.600₺,210.30.42.20.10.001,1848,FALSE,59,Professyonel Dalaay (300m+),Premium,42,Bayak (40-44mm),Atok Prestijli
Conquest Heritage Central Power Reserve,Longines,Watchmaking Tradition,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,192,Premium Collection,5 Yıl,72 Saat,Bej,Krokodil,203.000₺,L1.648.4.78.2,1832,FALSE,54,Yazme (50m),Premium,38,Orta (36-40mm),Orta Prestij
Serpenti Seduttori,Bvlgari,Serpenti,Ultra-Luxury,Women,Otomatik,Atelik Altn,Gold,30m,Splash Resistant,Italy,140,Ultra-Luxury Collection,5 Yıl,50 Saat,Beyaz,Atelik Altn,763.000₺,104058,1884,FALSE,11,Ganlak Kullanam (30m),Laks,34,Kaaak (<36mm),Atok Prestijli
Avenger,Breitling,Avenger,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,300m,Diving,Switzerland,140,Luxury Collection,2 Yıl,38 Saat,Siyah,Tekstil,228.800₺,A17328101B1X1,1884,FALSE,12,Professyonel Dalaay (300m+),Premium,42,Bayak (40-44mm),Prestijli
Hydroconquest GMT,Longines,Diving,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,300m,Diving,Switzerland,192,Premium Collection,5 Yıl,72 Saat,Mavi,Paslanmaz Atelik,156.000₺,L3.890.4.96.6,1832,FALSE,49,Professyonel Dalaay (300m+),Orta Segment,43,Bayak (40-44mm),Orta Prestij
Formula 1,Tag Heuer,Formula 1,Budget,Erkek,Pilli,Paslanmaz Atelik,Steel,200m,Swimming,Unknown,,Premium Collection,2 Yıl,,Mavi,Paslanmaz Atelik,91.000₺,WAZ1118.BA0875,,FALSE,38,Dalaay (200m),Ekonomik,41,Bayak (40-44mm),Prestijli
Chronomat GMT,Breitling,Chronomat,Luxury,Erkek,Otomatik,Paslanmaz Atelik,Steel,200m,Swimming,Switzerland,140,Luxury Collection,2 Yıl,42 Saat,Siyah,Paslanmaz Atelik,301.600₺,A32398101B1A1,1884,FALSE,19,Dalaay (200m),Premium,40,Orta (36-40mm),Prestijli
PRC 100 Solar,Tissot,T-Sport Collection,Budget,Women,Pilli,Atelik Altn,Gold,100m,Water Resistant,Switzerland,171,Entry Collection,3 Yıl,,Sara,Atelik Altn,29.980₺,T151.822.33.021.00,1853,FALSE,97,Snorkeling (100m),Ekonomik,34,Kaaak (<36mm),Giriş Seviyesi
Marine Torpilleur,Ulysse Nardin,Marine,Ultra-Luxury,Erkek,Otomatik,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,178,Ultra-Luxury Collection,5 Yıl,60 Saat,Mavi,Kauasuk,525.200₺,1183-310-3/43,1846,FALSE,5,Yazme (50m),Laks,42,Bayak (40-44mm),Ultra Prestijli
Avigation BigEye,Longines,Avigation,Mid-Range,Erkek,Otomatik,Titanyum,Titanium,30m,Splash Resistant,Switzerland,192,Premium Collection,5 Yıl,66 Saat,Mavi,Deri,200.000₺,L2.816.1.93.2,1832,FALSE,36,Ganlak Kullanam (30m),Premium,41,Bayak (40-44mm),Orta Prestij
Clifton,Baume & Mercier,Clifton,Mid-Range,Erkek,Otomatik,Atelik Altn,Gold,50m,Water Resistant,Switzerland,194,Premium Collection,2 Yıl,120 Saat,Kahverengi,Dana Derisi,164.500₺,10713,1830,FALSE,16,Yazme (50m),Orta Segment,40,Orta (36-40mm),Orta Prestij
Conquest,Longines,Performance,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,192,Premium Collection,5 Yıl,72 Saat,Siyah,Paslanmaz Atelik,109.000₺,L3.720.4.52.6,1832,FALSE,57,Snorkeling (100m),Orta Segment,38,Orta (36-40mm),Orta Prestij
Luminor Base Logo,Panerai,Luminor,Mid-Range,Erkek,Elle Kurmala,Paslanmaz Atelik,Steel,100m,Water Resistant,Italy,164,Ultra-Luxury Collection,8 Yıl,72 Saat,Beyaz,Kauasuk,272.800₺,PAM01087,1860,FALSE,37,Snorkeling (100m),Premium,44,Bayak (40-44mm),Atok Prestijli
Riviera,Baume & Mercier,Riviera,Mid-Range,Women,Otomatik,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,194,Premium Collection,2 Yıl,38 Saat,Gri,Paslanmaz Atelik,126.000₺,10730,1830,FALSE,45,Yazme (50m),Orta Segment,33,Kaaak (<36mm),Orta Prestij
Serpenti Tubogas,Bvlgari,Serpenti,Ultra-Luxury,Women,Pilli,Atelik Altn,Gold,30m,Splash Resistant,Italy,140,Ultra-Luxury Collection,5 Yıl,,Yeayil,Atelik Altn,709.000₺,102790,1884,FALSE,11,Ganlak Kullanam (30m),Laks,35,Kaaak (<36mm),Atok Prestijli
Spirit Zulu Time,Longines,Avigation,Mid-Range,Erkek,Otomatik,Atelik Altn,Gold,100m,Water Resistant,Switzerland,192,Premium Collection,5 Yıl,72 Saat,Antrasit,Paslanmaz Atelik,242.000₺,L3.812.5.53.6,1832,FALSE,36,Snorkeling (100m),Premium,42,Bayak (40-44mm),Orta Prestij
Aquaracer Professional 200 Date,Tag Heuer,Aquaracer,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,200m,Swimming,Unknown,,Premium Collection,2 Yıl,38 Saat,Siyah,Paslanmaz Atelik,156.000₺,WBP2110.BA0627,,FALSE,50,Dalaay (200m),Orta Segment,40,Orta (36-40mm),Prestijli
Classima,Baume & Mercier,Classima,Mid-Range,Women,Otomatik,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,194,Entry Collection,2 Yıl,42 Saat,Bordo,Paslanmaz Atelik,108.900₺,10691,1830,FALSE,19,Yazme (50m),Orta Segment,34,Kaaak (<36mm),Orta Prestij
Seamaster Aqua Terra Shades,Omega,Seamaster,Luxury,Erkek,Otomatik,Paslanmaz Atelik,Steel,150m,Swimming,Switzerland,176,Ultra-Luxury Collection,5 Yıl,55 Saat,Karmaza,Paslanmaz Atelik,337.600₺,220.10.38.20.13.003,1848,FALSE,59,Yazme (50m),Premium,38,Orta (36-40mm),Atok Prestijli
Luminor Quaranta,Panerai,Luminor,Luxury,Erkek,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Italy,164,Ultra-Luxury Collection,8 Yıl,72 Saat,Beyaz,Krokodil,378.100₺,PAM01371,1860,FALSE,37,Snorkeling (100m),Premium,40,Orta (36-40mm),Atok Prestijli
Aquaracer Professional 200 Solargraph,Tag Heuer,Aquaracer,Mid-Range,Women,Pilli,Paslanmaz Atelik,Steel,200m,Swimming,Unknown,,Premium Collection,2 Yıl,,Sedef,Paslanmaz Atelik,130.000₺,WBP1312.BA0005,,FALSE,50,Dalaay (200m),Orta Segment,34,Kaaak (<36mm),Prestijli
Master Collection,Longines,Watchmaking Tradition,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,30m,Splash Resistant,Switzerland,192,Premium Collection,5 Yıl,72 Saat,Mavi,Paslanmaz Atelik,142.000₺,L2.919.4.92.6,1832,FALSE,54,Ganlak Kullanam (30m),Orta Segment,42,Bayak (40-44mm),Orta Prestij
Classima,Baume & Mercier,Classima,Budget,Erkek,Otomatik,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,194,Entry Collection,2 Yıl,38 Saat,Siyah,Deri,76.300₺,10453,1830,FALSE,19,Yazme (50m),Ekonomik,42,Bayak (40-44mm),Orta Prestij
Clifton,Baume & Mercier,Clifton,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,194,Premium Collection,2 Yıl,120 Saat,Bej,Paslanmaz Atelik,135.900₺,10793,1830,FALSE,16,Yazme (50m),Orta Segment,39,Orta (36-40mm),Orta Prestij
Spirit of Big Bang Titanium,Hublot,Big Bang,Ultra-Luxury,Erkek,Otomatik,Titanyum,Titanium,100m,Water Resistant,Switzerland,44,Ultra-Luxury Collection,2 Yıl,50 Saat,Askelet,Kauasuk,1.138.800₺,642.NX.0170.RX,1980,FALSE,43,Snorkeling (100m),Ultra Laks,42,Bayak (40-44mm),Atok Prestijli
Big Bang One Click Joyful Steel Apple Green,Hublot,Big Bang,Ultra-Luxury,Women,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,44,Ultra-Luxury Collection,2 Yıl,40 Saat,Beyaz,Kauasuk,670.800₺,485.SG.2210.RX.1222,1980,FALSE,43,Snorkeling (100m),Laks,33,Kaaak (<36mm),Atok Prestijli
Octo Roma,Bvlgari,Octo,Luxury,Erkek,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Italy,140,Ultra-Luxury Collection,5 Yıl,42 Saat,Yeayil,Kauasuk,367.000₺,103925,1884,FALSE,16,Snorkeling (100m),Premium,41,Bayak (40-44mm),Atok Prestijli
Classic Fusion King Gold Blue,Hublot,Classic Fusion,Ultra-Luxury,Erkek,Otomatik,Altan,Gold,50m,Water Resistant,Switzerland,44,Ultra-Luxury Collection,2 Yıl,42 Saat,Mavi,Krokodil,1.315.600₺,511.OX.7180.LR,1980,FALSE,45,Yazme (50m),Ultra Laks,45,Atok Bayak (>44mm),Atok Prestijli
Spirit,Longines,Avigation,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,192,Premium Collection,5 Yıl,72 Saat,Siyah,Kauasuk,122.000₺,L3.809.4.53.9,1832,FALSE,36,Snorkeling (100m),Orta Segment,39,Orta (36-40mm),Orta Prestij
Classic Fusion King Gold Blue Diamonds,Hublot,Classic Fusion,Ultra-Luxury,Women,Pilli,Altan,Gold,50m,Water Resistant,Switzerland,44,Ultra-Luxury Collection,2 Yıl,,Mavi,Kauasuk,826.800₺,591.OX.7180.RX.1204,1980,FALSE,45,Yazme (50m),Ultra Laks,29,Kaaak (<36mm),Atok Prestijli
Submersible,Panerai,Submersible,Luxury,Erkek,Otomatik,Paslanmaz Atelik,Steel,300m,Diving,Italy,164,Ultra-Luxury Collection,8 Yıl,72 Saat,Siyah,Kauasuk,464.200₺,PAM02973,1860,FALSE,21,Professyonel Dalaay (300m+),Laks,42,Bayak (40-44mm),Atok Prestijli
Aquaracer Professional 300 Date,Tag Heuer,Aquaracer,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,300m,Diving,Unknown,,Premium Collection,2 Yıl,80 Saat,Yeayil,Paslanmaz Atelik,215.800₺,WBP5116.BA0013,,FALSE,50,Professyonel Dalaay (300m+),Premium,42,Bayak (40-44mm),Prestijli
Superocean,Breitling,Superocean,Mid-Range,Women,Otomatik,Paslanmaz Atelik,Steel,300m,Diving,Switzerland,140,Premium Collection,2 Yıl,38 Saat,Siyah,Kauasuk,252.200₺,A17375211B2S2,1884,FALSE,15,Professyonel Dalaay (300m+),Premium,42,Bayak (40-44mm),Prestijli
HydroConquest,Longines,Diving,Budget,Erkek,Otomatik,Paslanmaz Atelik,Steel,300m,Diving,Switzerland,192,Premium Collection,5 Yıl,72 Saat,Mavi,Paslanmaz Atelik,95.000₺,L3.782.4.96.6,1832,FALSE,49,Professyonel Dalaay (300m+),Orta Segment,43,Bayak (40-44mm),Orta Prestij
Conquest,Longines,Performance,Mid-Range,Women,Otomatik,Atelik Altn,Gold,100m,Water Resistant,Switzerland,192,Premium Collection,5 Yıl,72 Saat,Yeayil,Paslanmaz Atelik,159.000₺,L3.430.5.02.6,1832,FALSE,57,Snorkeling (100m),Orta Segment,34,Kaaak (<36mm),Orta Prestij
Superocean,Breitling,Superocean,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,300m,Diving,Switzerland,140,Premium Collection,2 Yıl,38 Saat,Mavi,Paslanmaz Atelik,262.600₺,A17375E71C1A1,1884,FALSE,15,Professyonel Dalaay (300m+),Premium,42,Bayak (40-44mm),Prestijli
Big Bang One Click Joyful Steel Red,Hublot,Big Bang,Ultra-Luxury,Women,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,44,Ultra-Luxury Collection,2 Yıl,40 Saat,Beyaz,Kauasuk,670.800₺,485.SR.2210.RX.1213,1980,FALSE,43,Snorkeling (100m),Laks,33,Kaaak (<36mm),Atok Prestijli
Conquest Heritage Year Of The Snake Edition,Longines,Watchmaking Tradition,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,192,Premium Collection,5 Yıl,72 Saat,Karmaza,Krokodil,159.000₺,L1.651.4.09.2,1832,FALSE,54,Yazme (50m),Orta Segment,40,Orta (36-40mm),Orta Prestij
Luminor Marina,Panerai,Luminor,Luxury,Erkek,Otomatik,Paslanmaz Atelik,Steel,300m,Diving,Italy,164,Ultra-Luxury Collection,8 Yıl,72 Saat,Mavi,Krokodil,425.900₺,PAM01313,1860,FALSE,37,Professyonel Dalaay (300m+),Laks,44,Bayak (40-44mm),Atok Prestijli
Clifton,Baume & Mercier,Clifton,Luxury,Erkek,Otomatik,Pembe Altan,Gold,50m,Water Resistant,Switzerland,194,Premium Collection,2 Yıl,120 Saat,Beyaz,Krokodil,358.300₺,10802,1830,FALSE,16,Yazme (50m),Premium,39,Orta (36-40mm),Orta Prestij
Link Date,Tag Heuer,Link,Mid-Range,Women,Pilli,Paslanmaz Atelik,Steel,100m,Water Resistant,Unknown,,Premium Collection,2 Yıl,,Mavi,Paslanmaz Atelik,114.400₺,WBC1311.BA0600,,FALSE,3,Snorkeling (100m),Orta Segment,32,Kaaak (<36mm),Prestijli
Luminor Quaranta BiTempo,Panerai,Luminor,Luxury,Erkek,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Italy,164,Ultra-Luxury Collection,8 Yıl,72 Saat,Yeayil,Paslanmaz Atelik,478.600₺,PAM01640,1860,FALSE,37,Snorkeling (100m),Laks,40,Orta (36-40mm),Atok Prestijli
Conquest Classic,Longines,Performance,Budget,Women,Pilli,Atelik Altn,Gold,50m,Water Resistant,Switzerland,192,Premium Collection,2 Yıl,,Gamaay,Atelik Altn,64.000₺,L2.286.3.72.7,1832,FALSE,57,Yazme (50m),Ekonomik,30,Kaaak (<36mm),Orta Prestij
Top Time B31,Breitling,Top Time,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,140,Luxury Collection,5 Yıl,78 Saat,Yeayil,Paslanmaz Atelik,291.200₺,AB3113171L1A1,1884,FALSE,10,Snorkeling (100m),Premium,38,Orta (36-40mm),Prestijli
Endurance Pro,Breitling,Professional,Mid-Range,Erkek,Pilli,Karbon,Carbon,100m,Water Resistant,Switzerland,140,Premium Collection,2 Yıl,,Siyah,Kauasuk,174.200₺,X82310281B1S1,1884,FALSE,15,Snorkeling (100m),Orta Segment,44,Bayak (40-44mm),Prestijli
Riviera,Baume & Mercier,Riviera,Mid-Range,Unisex,Otomatik,Titanyum,Titanium,100m,Water Resistant,Switzerland,194,Premium Collection,8 Yıl,120 Saat,Gri,Kauasuk,162.300₺,10720,1830,FALSE,45,Snorkeling (100m),Orta Segment,39,Orta (36-40mm),Orta Prestij
Radiomir Quaranta,Panerai,Radiomir,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,50m,Water Resistant,Italy,164,Luxury Collection,8 Yıl,72 Saat,Beyaz,Krokodil,292.000₺,PAM01570,1860,FALSE,14,Yazme (50m),Premium,40,Orta (36-40mm),Atok Prestijli
Speedmaster Moonphase,Omega,Speedmaster,Ultra-Luxury,Erkek,Elle Kurmala,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,176,Ultra-Luxury Collection,5 Yıl,60 Saat,Siyah,Paslanmaz Atelik,873.000₺,304.30.43.52.01.001,1848,FALSE,25,Yazme (50m),Ultra Laks,43,Bayak (40-44mm),Atok Prestijli
Conquest,Longines,Performance,Mid-Range,Women,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,192,Premium Collection,5 Yıl,45 Saat,Gamaay,Paslanmaz Atelik,109.000₺,L3.320.4.72.6,1832,FALSE,57,Snorkeling (100m),Orta Segment,30,Kaaak (<36mm),Orta Prestij
PR 100 Chronograph,Tissot,T-Classic Collection,Budget,Erkek,Pilli,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,171,Entry Collection,2 Yıl,,Beyaz,Paslanmaz Atelik,19.790₺,T150.417.11.011.00,1853,FALSE,160,Snorkeling (100m),Ekonomik,40,Orta (36-40mm),Giriş Seviyesi
SRV,Tissot,T-Classic Collection,Budget,Women,Pilli,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,171,Entry Collection,2 Yıl,,Sedef,Krokodil,21.590₺,T160.110.36.113.00,1853,FALSE,160,Yazme (50m),Ekonomik,21.8,Kaaak (<36mm),Giriş Seviyesi
Chronomat Automatic GMT 40,Breitling,Chronomat,Luxury,Erkek,Otomatik,Paslanmaz Atelik,Steel,200m,Swimming,Switzerland,140,Luxury Collection,2 Yıl,42 Saat,Yeayil,Paslanmaz Atelik,301.600₺,A32398101L1A1,1884,FALSE,19,Dalaay (200m),Premium,40,Orta (36-40mm),Prestijli
Clifton,Baume & Mercier,Clifton,Mid-Range,Women,Otomatik,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,194,Premium Collection,8 Yıl,120 Saat,Beyaz,Krokodil,131.200₺,10831,1830,FALSE,16,Yazme (50m),Orta Segment,34,Kaaak (<36mm),Orta Prestij
Seamaster Aqua Terra 150M,Omega,Seamaster,Luxury,Erkek,Otomatik,Paslanmaz Atelik,Steel,150m,Swimming,Switzerland,176,Ultra-Luxury Collection,5 Yıl,60 Saat,Siyah,Paslanmaz Atelik,337.600₺,220.10.41.21.01.002,1848,FALSE,59,Yazme (50m),Premium,41,Bayak (40-44mm),Atok Prestijli
Hampton,Baume & Mercier,Hampton,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,194,Premium Collection,,42 Saat,Siyah,Deri,239.200₺,10741,1830,FALSE,16,Yazme (50m),Premium,48,Atok Bayak (>44mm),Orta Prestij
Seamaster Diver 300M James Bond 60th Anniversary,Omega,Seamaster,Luxury,Erkek,Otomatik,Paslanmaz Atelik,Steel,300m,Diving,Switzerland,176,Ultra-Luxury Collection,5 Yıl,55 Saat,Mavi,Paslanmaz Atelik,424.900₺,210.30.42.20.03.002,1848,FALSE,59,Professyonel Dalaay (300m+),Laks,42,Bayak (40-44mm),Atok Prestijli
Spirit Zulu Time,Longines,Avigation,Mid-Range,Erkek,Otomatik,Titanyum,Titanium,100m,Water Resistant,Switzerland,192,Premium Collection,5 Yıl,72 Saat,Antrasit,Titanyum,211.000₺,L3.802.1.53.6,1832,FALSE,36,Snorkeling (100m),Premium,39,Orta (36-40mm),Orta Prestij
Riviera,Baume & Mercier,Riviera,Budget,Women,Pilli,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,194,Premium Collection,2 Yıl,,Mavi,Paslanmaz Atelik,77.700₺,10612,1830,FALSE,45,Yazme (50m),Ekonomik,36,Orta (36-40mm),Orta Prestij
SRV,Tissot,T-Classic Collection,Budget,Women,Pilli,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,171,Entry Collection,2 Yıl,,Karmaza,Krokodil,18.290₺,T160.110.16.423.00,1853,FALSE,160,Yazme (50m),Ekonomik,21.8,Kaaak (<36mm),Giriş Seviyesi
Big Bang Meca-10 Black Magic,Hublot,Big Bang,Ultra-Luxury,Erkek,Elle Kurmala,Seramik,Ceramic,100m,Water Resistant,Switzerland,44,Ultra-Luxury Collection,2 Yıl,240 Saat,Askelet,Kauasuk,1.190.800₺,414.CI.1123.RX,1980,FALSE,43,Snorkeling (100m),Ultra Laks,45,Atok Bayak (>44mm),Atok Prestijli
Speedmaster First Omega in Space,Omega,Speedmaster,Luxury,Erkek,Elle Kurmala,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,176,Ultra-Luxury Collection,5 Yıl,50 Saat,Mavi,Paslanmaz Atelik,401.600₺,310.30.40.50.06.001,1848,FALSE,25,Yazme (50m),Premium,40,Orta (36-40mm),Atok Prestijli
Ballade COSC,Tissot,T-Classic Collection,Budget,Women,Otomatik,Atelik Altn,Gold,100m,Water Resistant,Switzerland,171,Entry Collection,3 Yıl,48 Saat,Gamaay,Atelik Altn,55.770₺,T156.208.22.033.00,1853,FALSE,160,Snorkeling (100m),Ekonomik,30,Kaaak (<36mm),Giriş Seviyesi
Spirit,Longines,Avigation,Mid-Range,Erkek,Otomatik,Paslanmaz Atelik,Steel,100m,Water Resistant,Switzerland,192,Premium Collection,5 Yıl,72 Saat,Siyah,Paslanmaz Atelik,139.000₺,L3.809.4.53.6,1832,FALSE,36,Snorkeling (100m),Orta Segment,39,Orta (36-40mm),Orta Prestij
Luminor Marina,Panerai,Luminor,Luxury,Erkek,Otomatik,Paslanmaz Atelik,Steel,50m,Water Resistant,Italy,164,Ultra-Luxury Collection,8 Yıl,72 Saat,Mavi,Deri,425.900₺,PAM03313,1860,FALSE,37,Yazme (50m),Laks,44,Bayak (40-44mm),Atok Prestijli
Marine Torpilleur,Ulysse Nardin,Marine,Ultra-Luxury,Erkek,Otomatik,Paslanmaz Atelik,Steel,50m,Water Resistant,Switzerland,178,Ultra-Luxury Collection,5 Yıl,60 Saat,Beyaz,Kauasuk,525.200₺,1183-310-3/40,1846,FALSE,5,Yazme (50m),Laks,42,Bayak (40-44mm),Ultra Prestijli
